Education Level,Job Title,Years of Experience,Salary
Master,Senior HR Generalist,10,105000
Master,Back end Developer,10,155000
PhD,Research Director,12,175000
High School,Junior Sales Associate,1,25000
Bachelor,Software Engineer,1,50000
PhD,Sales Director,10,155000
Master,Full Stack Engineer,6,120000
Bachelor,Marketing Analyst,2,50000
High School,Receptionist,0,25000
PhD,Senior Project Engineer,19,210000
Bachelor,Software Engineer,5,160000
Bachelor,Software Engineer,4,140000
Bachelor,Software Engineer,4,140000
Master,Senior Software Engineer,13,140010
Bachelor,Junior Marketing Manager,4,57000
High School,Receptionist,0,25000
Master,Senior Software Engineer,14,141090
Master,Marketing Manager,9,100000
Master,Data Scientist,6,180000
PhD,Senior UX Designer,16,160000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Software Engineer,8,180000
Master,Financial Manager,7,120000
Bachelor,Software Engineer Manager,8,135000
Master,Junior Marketing Specialist,1,40000
Master,Data Analyst,1,100000
PhD,Senior Software Engineer,14,170000
Master,Software Engineer,9,120000
Bachelor,Senior Product Marketing Manager,5,85000
Master,Director of Marketing,25,180000
PhD,Software Engineer Manager,17,195000
Master,Back end Developer,6,130000
Master,Data Analyst,1,100000
Bachelor,Data Analyst,11,160000
Bachelor,Software Engineer,3,85000
High School,Sales Associate,1,35000
Master,Financial Analyst,6,100000
Bachelor,Junior Web Developer,3,50000
Master,Product Manager,12,196000
Bachelor,Back end Developer,2,70000
Bachelor,Software Engineer,4,75000
PhD,Data Scientist,14,140000
Bachelor,Junior Data Analyst,3,52000
Bachelor,Back end Developer,1,60000
PhD,Marketing Manager,10,100000
Bachelor,Junior Web Developer,1,40000
High School,Receptionist,0,25000
PhD,Software Engineer Manager,16,185000
Bachelor,Product Designer,3,60000
PhD,Software Engineer Manager,15,185000
Bachelor,Product Designer,3,60000
PhD,Senior Data Scientist,12,170000
PhD,Software Engineer Manager,32,191510
Master,Full Stack Engineer,6,115000
Master,Senior Project Engineer,8,121454
Master,Back end Developer,8,140000
High School,Digital Marketing Manager,2,40000
Bachelor,Back end Developer,3,85000
Master,Back end Developer,9,150000
PhD,Data Scientist,18,183000
PhD,Digital Marketing Manager,1,30000
Master,Senior Software Engineer,12,160000
Bachelor,Data Analyst,2,110000
Bachelor,Software Engineer,4,65000
Bachelor,Data Analyst,2,110000
Bachelor,Sales Director,6,75000
Bachelor,Front end Developer,4,90000
High School,Sales Manager,2,40000
PhD,Senior Research Scientist,12,140000
PhD,Data Scientist,14,140000
High School,Back end Developer,8,104127
Master,Data Scientist,6,180000
Bachelor,Project Manager,6,110000
Master,Marketing Manager,13,130000
Master,Front end Developer,5,105000
PhD,Senior Product Marketing Manager,20,200000
Master,Senior Human Resources Manager,4,70000
Bachelor,Marketing Coordinator,3,55000
Bachelor,Product Manager,4,150000
Bachelor,Front End Developer,4,80000
PhD,Senior Project Engineer,17,195000
